name,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,ID
"TITLE: Noise-Based Volume Rendering for the Visualization of Multivariate Volumetric Data WORDS: new, users, use, design, visualizations, interactive, used, space, large, flow",Noise-Based Volume Rendering for the Visualization of Multivariate Volumetric Data,5,1,2,4,10,6,9,7,8,3,99
"TITLE: Ambient Volume Scattering WORDS: new, users, use, design, visualizations, interactive, used, space, large, novel",Ambient Volume Scattering,10,1,5,7,4,2,8,6,3,9,100
"TITLE: Lighting Design for Globally Illuminated Volume Rendering WORDS: volume, users, use, design, visualizations, interactive, used, new, different, study",Lighting Design for Globally Illuminated Volume Rendering,7,3,8,1,2,9,10,6,5,4,101
"TITLE: Generalized Topological Simplification of Scalar fields on Surfaces WORDS: users, use, design, visualizations, interactive, space, large, different, study, technique",Generalized Topological Simplification of Scalar fields on Surfaces,4,1,8,2,3,10,9,7,5,6,102
"TITLE: Computing Morse-Smale Complexes with Accurate Geometry WORDS: new, users, use, design, visualizations, interactive, novel, volume, used, space",Computing Morse-Smale Complexes with Accurate Geometry,8,6,7,9,4,3,5,2,10,1,103
"TITLE: Visualization of Temporal Similarity in field Data WORDS: users, use, design, visualizations, interactive, flow, tasks, new, different, study",Visualization of Temporal Similarity in field Data,4,8,9,2,5,10,1,7,6,3,104
"TITLE: Visualizing Nuclear Scission through a Multifield Extension of Topological Analysis WORDS: users, use, design, visualizations, interactive, new, different, study, technique, time",Visualizing Nuclear Scission through a Multifield Extension of Topological Analysis,2,7,6,1,4,8,10,5,9,3,105
"TITLE: Augmented Topological Descriptors of Pore Networks for Material Science WORDS: new, used, volume, novel, users, use, design, visualizations, interactive, space",Augmented Topological Descriptors of Pore Networks for Material Science,1,4,9,5,10,6,8,2,7,3,106
"TITLE: KnotPad: Visualizing and Exploring Knot Theory with Fluid Reidemeister Moves WORDS: used, users, use, design, visualizations, interactive, new, volume, flow, tasks",KnotPad: Visualizing and Exploring Knot Theory with Fluid Reidemeister Moves,1,2,10,6,9,7,4,3,5,8,107
"TITLE: Visualization of Electrostatic Dipoles in Molecular Dynamics of Metal Oxides WORDS: space, large, new, users, use, design, visualizations, interactive, novel, different",Visualization of Electrostatic Dipoles in Molecular Dynamics of Metal Oxides,9,5,10,2,4,8,3,6,7,1,108
